game 1, tick 134: sent board, bot=S, enemy=S
game 1, tick 135: sent board, bot=S, enemy=S
game 1, tick 136: sent board, bot=S, enemy=S
game 1, tick 137: sent board, bot=S, enemy=S
game 1, tick 138: sent board, bot=S, enemy=S
game 1, tick 139: sent board, bot=S, enemy=S
game 1, tick 140: sent board, bot=S, enemy=S
game 1, tick 141: sent board, bot=S, enemy=S
game 1, tick 142: sent board, bot=S, enemy=S
game 1, tick 143: sent board, bot=S, enemy=S
game 1, tick 144: sent board, bot=S, enemy=S
game 1, tick 145: sent board, bot=S, enemy=S
game 1, tick 146: sent board, bot=S, enemy=S
game 1, tick 147: sent board, bot=S, enemy=S
game 1, tick 148: sent board, bot=S, enemy=S
game 1, tick 149: sent board, bot=S, enemy=S
game 1, tick 150: sent board, bot=S, enemy=S
game 1, tick 151: sent board, bot=S, enemy=S
game 1, tick 152: sent board, bot=S, enemy=S
game 1, tick 153: sent board, bot=S, enemy=S
game 1, tick 154: sent board, bot=S, enemy=S
game 1, tick 155: sent board, bot=S, enemy=S
game 1, tick 156: sent board, bot=S, enemy=S
game 1, tick 157: sent board, bot=S, enemy=S
game 1, tick 158: sent board, bot=S, enemy=S
game 1, tick 159: sent board, bot=S, enemy=S
game 1, tick 160: sent board, bot=S, enemy=S
game 1, tick 161: sent board, bot=S, enemy=S
game 1, tick 162: sent board, bot=S, enemy=S
game 1, tick 163: sent board, bot=S, enemy=S
game 1, tick 164: sent board, bot=S, enemy=S
game 1, tick 165: sent board, bot=S, enemy=S
game 1, tick 166: sent board, bot=S, enemy=S
game 1, tick 167: sent board, bot=S, enemy=S
game 1, tick 168: sent board, bot=S, enemy=S
game 1, tick 169: sent board, bot=S, enemy=S
game 1, tick 170: sent board, bot=S, enemy=S
game 1, tick 171: sent board, bot=S, enemy=S
game 1, tick 172: sent board, bot=S, enemy=S
game 1, tick 173: sent board, bot=S, enemy=S
game 1, tick 174: sent board, bot=S, enemy=S
game 1, tick 175: sent board, bot=S, enemy=S
game 1, tick 176: sent board, bot=S, enemy=S
game 1, tick 177: sent board, bot=S, enemy=S
game 1, tick 178: sent board, bot=S, enemy=S
game 1, tick 179: sent board, bot=S, enemy=S
game 1, tick 180: sent board, bot=S, enemy=S
game 1, tick 181: sent board, bot=S, enemy=S
