6890564131350166232 0 0 0 0 0
6892519740593016520 1 0 -298.65 0 0
6892520091070033969 1 0 -0.3 0 0
6892518306616789609 1 0 -0.3 0 0
6892519908323324847 1 0 -0.3 0 0
6892594985054453019 1 -0.3 0 0 0
6892594985054453020 2 0 0 -0.3 0
6892594985054481421 1 0 0 0 0
6889866104535899291 1 0 0 0 -0.3
6886336001080234729 1 0 0 -0.3 0
6886808139910949177 1 0 0 0 0
6886808139910949176 1 0 0 0 0
6886808139904182050 1 -0.3 0 0 0
6886808139910949173 5 0 0 0 0
6886808139910948598 5 0 0 0 0
6886808139910948402 1 0 0 0 0
6886808139910964915 1 0 0 0 0
6886808139910919235 3 0 0 0 0
6890571690555384124 1 0 -298.5 0 0
6892599801756719907 1 -0.3 0 0 0
6892599801756719906 2 0 0 -0.15 0
6892599801756719909 1 0 0 -0.3 0
6889859098643130502 1 0 0 0 0
6886652916671912656 1 -0.3 0 0 0
6886652916671912659 1 -0.3 0 0 0
6886672553673670597 1 0 0 0 0
6889865866666191920 1 0 0 0 0
6889866112184853808 1 0 0 0 0
6889868951981940777 1 0 0 0 0
6889865866665880062 1 0 0 0 0
6889859263662136823 1 0 0 0 0
6892519908323312604 1 -0.3 0 0 0
6886652916671920633 1 0 0 0 0
6886672441137764939 1 0 0 0 0
6886652017540704444 1 0 0 0 0
6886653351349040929 1 0 0 0 0
6889866112184755391 1 0 0 0 0
6889865866666291126 1 0 0 0 0
6889859263662154255 1 0 0 0 0
6889859129949088726 1 -0.3 0 0 0
6886672593152602550 1 0 0 -0.15 0
6886652903782030731 1 0 -0.3 0 0
6886789638616815565 1 0 0 0 0
6892595172231896824 1 0 0 -0.3 0
6892596659225577581 1 -0.3 0 0 0
6892596659225553675 1 0 0 0 0
6892595034285255157 1 0 0 0 0
6892598454195121722 1 0 0 0 0
6892598454195117738 1 0 0 0 0
6892595034285217082 1 0 0 0 0
6892599801750795354 1 0 0 -0.3 0
6892519677446693615 1 0 0 0 0
6889868951982737372 1 0 0 0 0
6886808671164865505 2 0 0 0 0.00404244054844
6886808671164863606 4 0 0.0003136978125 0 0
6886808671164888085 6 0 0 0 0
6886808671164867652 15 0 0 0 0.0462767795113
6886808671164868289 11 0 0.00222909638441 0 0
6886808671164869457 2 0 0 0 0
6886806606564758525 1 0 0 0 0
6886806606564746669 1 0 0 0 0
6886778127996754806 1 0 0 0 0
6886778750390145455 1 0 0 0 0
6886778127996774890 1 0 0 0 0
6886806606564740168 1 0 0 0 0
6886808671164946657 1 0 0 0 0
6886806606564738511 2 0 0 0 0
6886806606564750623 3 0 0 0 0
6886808671164861169 9 0.0465027813923 0 0 0
6886808671164889729 10 0.0227671811087 0 0 0
6886778059038390101 2 0 0 0 0
6886778127996754103 2 0 0 0 0
6886811938410713752 1 0 0 0 0
6886778394732929319 1 0 0 0 0
6889859098643130503 1 -0.3 0 0 0
6886778394732941750 1 0 0 0 0
6886778321256715498 1 0 0 0 0
6886777930063008742 3 0 0 0 0
6886778750390145069 1 0 0 0 0
6886778127996754232 1 0 0 0 0
6886778059038351538 2 0 0 0 0.15
6886806606564748330 1 0 0 0 0
6886778817202419236 1 0 0 0 0
6886808177166893278 3 0 0 0 0
6890564587959759281 2 0 0 0 0
6890564587959747041 2 0 0 0 0
6890564587959865360 2 0 0 0 0
6890564587959861602 1 0 0 0 0
6890564587960114065 2 0 0 0 0
6890564587960113178 2 0 0 0 0
6890564587960133769 1 0 0 0 0
6890564587960134467 2 0 0 0 0
6890564587960134528 4 0 0 0 0
6890564587960133706 5 0 0 0 0
6890564587960134593 8 0 0 0 0
6890564587960134402 6 0 0 0 0
6890564587960134149 1 0 0 0 0
6890564587960134212 3 0 0 0 0
6886793980339395948 1 -298.5 0 0 0
6886793974394139870 1 0 -0.3 0 0
6890571860861424181 1 0 0 0 0
6890564590490251507 8 0 0 0 0
6890571573136974511 1 0 0 0 0
6886792915350065396 1 0 0 0 0
6890571055898941512 1 0 0 0 0
6886778059032862150 2 0 0 0 0
6892595034285146964 1 0 0 0 0
6890564590490243816 36 0 0 0 0
6890571866578305078 3 0 0 0 0
6892504592661168454 2 0 0 0 0
6886695207362883833 1 0 0 0 0
6886408107118107399 1 0 -0.3 0 0
6893176859201955992 1 0 -298.65 0 0
6890564590490243094 1 0 0 0 0
6892593787635313768 1 0 0 0 0
6892519915079124636 1 0 0 0 0
6889859030927335258 1 0 0 0 0
6890564590490248167 2 0 0 0 0
6886334516581287010 1 0 0 0 0
6890564590490252276 2 0 0 0 0
6890548017067310034 7 0 0 0 0
6892504592661996428 1 0 0 0 0
6890564590490251442 8 0 0 0 0
6892519915079124638 1 0 0 0 0
6892598932204415400 2 0 0 0 0
6886847059061635785 1 0 -0.3 0 0
6886778816768735949 1 -0.3 0 0 0
6890567582958344224 1 0 0 0 0
6892520091800708945 1 0 0 -0.3 0
6890574544049052169 1 -0.15 0 0 0
6892598302849325828 1 0 0 0 0
6886336009535585223 1 0 0 0 0
6892520342394706470 1 0 0 0 0
6886289491148380880 1 0 -0.3 0 0
6886808139910944359 1 0 0 0 0
6890564590490239232 6 0 0 0 0
6893176608264071519 1 0 0 0 0
6886778324272918911 1 0 0 0 0
6892520109637838271 1 0 0 0 0
6892598454195297322 1 0 0 0 0
6892598454194337852 1 0 0 0 0
6892595939404294864 3 0 0 0 0
6886336352743695164 2 0 0 0 0
6886289343688621292 3 -0.15 0 0 0
6890571573195780230 1 0 0 0 0
6886808177166819966 1 0 0 0 0
6890548017067314371 1 0 0 0 -298.35
6886811938106401092 1 0 0 0 0
6886841793020517299 1 -0.3 0 0 0
